"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4g0eywnFu6aeIlUdhxm6PN","It Doesn't Matter","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:0FjHy5dCyVROqDUl6f2VTK","Dig Your Own Hole","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1997-01-01","https://i.scdn.co/image/ab67616d0000b273df9f87a1ff07a1bb500ad75f","1","6","374240","https://p.scdn.co/mp3-preview/94ded268b941b58a0fd02203f5f3e66fe121756e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","","2021-07-08T03:17:40Z"
"spotify:track:5Kyh9MKS2E9SfgLQTHslwa","Estación los Alpes","spotify:artist:6bo6Muxy30ymJUTaJLB6Q5, spotify:artist:2koDKdblLauxtq372Xgc6p","Buhodermia 夜, El Maese KDS","spotify:album:5QlpaNofe4yRw93ywim1y7","Euphanasia","spotify:artist:6bo6Muxy30ymJUTaJLB6Q5","Buhodermia 夜","2020-09-18","https://i.scdn.co/image/ab67616d0000b2736039f760b8a75736ed395d96","1","5","194938","https://p.scdn.co/mp3-preview/089a65def2867c11141ac77a04c322ecc0fc8584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","","2021-07-02T07:00:44Z"
"spotify:track:0xbkxTqSaW5blsYgRXpB5I","Funkin' for Jamaica","spotify:artist:4Ytvi4r3WPIZmEw1Ndmkp9","Tom Browne","spotify:album:3QEAp1Cp3DQq6QcQD90arq","Funkin' For Jamaica","spotify:artist:4Ytvi4r3WPIZmEw1Ndmkp9","Tom Browne","1997-07-16","https://i.scdn.co/image/ab67616d0000b273f0ceff29b9bf96937a9d1356","1","1","280933","https://p.scdn.co/mp3-preview/2f20757ef80bd544b0c4a4f1819351f58cba1a76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","","2021-05-08T07:45:52Z"
"spotify:track:1vxw6aYJls2oq3gW0DujAo","Crazy","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","spotify:album:5I0Wf7lRLZArM1K2uQ1AEA","St. Elsewhere","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","2006-04-24","https://i.scdn.co/image/ab67616d0000b2732cb3f40f7d4114236061f77f","1","2","177466","https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","","2021-03-21T16:24:44Z"
"spotify:track:0SjQBdIddPvKSWxr8vk6QX","Dumebi","spotify:artist:46pWGuE3dSwY3bMMXGBvVS","Rema","spotify:album:4l8Gg5qk0QodyJ12SNtdUf","Rema","spotify:artist:46pWGuE3dSwY3bMMXGBvVS","Rema","2019-03-22","https://i.scdn.co/image/ab67616d0000b27381c04ab39b75f83ee9849a08","1","3","179775","https://p.scdn.co/mp3-preview/e998846a42879b46704cb3fe5c587856055868da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","","2021-03-21T15:51:18Z"
"spotify:track:3mScGCzxiXA9OaHdBeuk7O","crossing field","spotify:artist:0blbVefuxOGltDBa00dspv","LiSA","spotify:album:3KA6n1pEMBKGScVAramFmT","LANDSPACE","spotify:artist:0blbVefuxOGltDBa00dspv","LiSA","2013-10-30","https://i.scdn.co/image/ab67616d0000b27329ef730f72f6dc0344b95a9c","1","3","248946","https://p.scdn.co/mp3-preview/2bfd6be9c930be149743d0287a990e090cfba032?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","","2021-02-05T04:02:41Z"
"spotify:track:4ZnZlOqCqehne56MoqgaBl","Maria Canela","spotify:artist:0xR68AyQA5b3scD6PB8RPS","Cesar Mora","spotify:album:0vtnx8WKdwKi8KSVKVUI7p","Hacerlo Bien","spotify:artist:0xR68AyQA5b3scD6PB8RPS","Cesar Mora","2007-03-27","https://i.scdn.co/image/ab67616d0000b2738030b385275af22fd5984853","1","1","302320","https://p.scdn.co/mp3-preview/15a21e99fe91f43792b234bcd7b40d7bd622b0f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","","2020-12-18T00:09:48Z"
"spotify:track:0oXLSuno5adlHcPzlzs8l6","Duele El Amor","spotify:artist:0r8toju2ecKaVtItkzAnNi, spotify:artist:5YekZn3GGnPIURNA6RG124","Aleks Syntek, Ana Torroja","spotify:album:1RaOKsaRdN1H4twh4u6FUd","Mundo Lite","spotify:artist:0r8toju2ecKaVtItkzAnNi","Aleks Syntek","2004-01-01","https://i.scdn.co/image/ab67616d0000b2732ff95cfe681839038a35b115","1","2","275373","https://p.scdn.co/mp3-preview/62ce134bb40b22c3f93a3175c442fc9c10c43081?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","","2020-12-08T01:50:23Z"
"spotify:track:4EN9GOVMjMrCFbkFD8swf4","Spinning in Daffodils","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","spotify:album:0Z6IBizcq7DLXpenjSHqF3","Them Crooked Vultures","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","2009-11-17","https://i.scdn.co/image/ab67616d0000b2737355bb17937d57983e09f9f9","1","13","448027","https://p.scdn.co/mp3-preview/b6658db831ec0d87dde3861213aa25f567817ed1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","","2020-12-03T20:25:36Z"
"spotify:track:7iWW3SUgt8d6EQruC0NQ2B","Bandoliers","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","spotify:album:0Z6IBizcq7DLXpenjSHqF3","Them Crooked Vultures","spotify:artist:4zYQWYmtimAEmI6WWEzGfO","Them Crooked Vultures","2009-11-17","https://i.scdn.co/image/ab67616d0000b2737355bb17937d57983e09f9f9","1","7","342013","https://p.scdn.co/mp3-preview/f395b39e17abe1195b7b447ed5a6a01d75900f4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","","2020-12-03T19:54:33Z"
